,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
8251,8251,Dify Opéra Diva - Hôtel de Ville,507472339,Tiphaine & Anne,2023-03-28,"Lyon, France",,,,f,,48.0,73.0,t,1er Arrondissement,45.7682425714204,4.83763970749199,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,118.0,1,1125,1,3,1,1125,2.5,267.4,9,20,44,300,30,29,2,2024-11-30,4.7,4.77,4.43,4.97,6938224372484,t,35,35,35,0,2.43
8253,8253,Logement plein centre de Lyon,468296171,Ahlem,2022-07-08,"Lyon, France",,,,f,,1.0,1.0,t,2e Arrondissement,45.75929,4.83488,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,39.0,30,365,30,30,365,365,30.0,365.0,26,56,86,266,0,0,0,,,,,,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,
8255,8255,Lumières - Best view of Lyon,388152691,Victoria,2021-02-11,,,,,f,,5.0,5.0,t,5e Arrondissement,45.7618523250954,4.82489447879578,Entire rental unit,Entire home/apt,4,2.5,2.0,2.0,1550.0,1,365,1,1,365,365,1.0,365.0,29,59,89,269,0,0,0,,,,,,Exempt - hotel-type listing,f,3,3,3,0,
8261,8261,Le duplex chez Juliette - Parking proche T2,535604514,Juliette,2023-09-05,"Lyon, France",,within a day,1.0,f,,2.0,2.0,t,8e Arrondissement,45.7409091265538,4.8609060421586,Entire rental unit,Entire home/apt,2,,1.0,,,8,365,2,6,365,365,2.2,365.0,0,0,0,0,1,1,0,2024-05-12,5.0,5.0,5.0,5.0,6938824407159,f,1,1,1,0,0.14
8262,8262,"Superbe studio rénové, tout équipé, Wifi",446809352,Laurence,2022-02-25,"Lyon, France",,within an hour,1.0,f,,4.0,6.0,t,8e Arrondissement,45.7327073942656,4.86698851912139,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,89.0,3,365,3,3,365,365,3.0,365.0,0,0,13,193,2,1,0,2024-09-26,4.5,4.0,4.5,4.5,6938312583294,f,3,3,3,0,0.16
8263,8263,Appartement T3 50 m2 à Lyon 9ème,506469694,Arthur,2023-03-21,,,within a few hours,1.0,f,,1.0,1.0,t,9e Arrondissement,45.7726649681713,4.79593298474551,Entire rental unit,Entire home/apt,6,1.0,2.0,1.0,105.0,1,365,1,1,365,365,1.0,365.0,24,52,82,260,45,43,3,2024-12-08,4.64,4.4,4.93,4.33,6938924374370,f,1,1,1,0,3.65
8267,8267,Charming studio Hyper-center,518716444,Nestia,2023-06-07,"Lyon, France","Professionnels de l’immobilier et Superhosts Airbnb, nous mettons à profit notre expertise pour gérer efficacement votre logement. De la création d'annonces attractives à la gestion quotidienne, nous vous accompagnons à chaque étape. Notre objectif est d’optimiser la visibilité de votre bien et d’assurer une expérience fluide pour les voyageurs. Nous restons à votre disposition pour toute question. Au plaisir d’échanger avec vous.",within an hour,1.0,f,,18.0,18.0,t,1er Arrondissement,45.7663814366499,4.83238239385949,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,49.0,1,365,1,3,1125,1125,1.4,1125.0,20,45,69,87,38,38,3,2024-11-27,4.58,4.47,4.68,4.79,6938113244039,f,9,8,8,0,3.65
8272,8272,~Studio Calme Idéalement Situé~,365446124,Etienne,2020-09-01,"Lyon, France",,within an hour,1.0,f,,1.0,1.0,t,2e Arrondissement,45.7442759,4.8239591,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,49.0,30,300,30,30,300,300,30.0,300.0,0,0,0,196,42,40,1,2024-12-11,4.98,5.0,4.88,4.79,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,3.39
8276,8276,The incredible Suite Moulin - brand new 2022 AIL,477209576,Norbert,2022-08-29,,,,,f,,1.0,1.0,t,1er Arrondissement,45.7671401,4.8377539,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,105.0,1,1125,1,4,2,1125,2.0,630.0,24,52,82,172,3,3,0,2024-06-04,5.0,5.0,5.0,5.0,6938113370832,t,1,1,1,0,0.38
8278,8278,GuestReady - Snug stay near Place Bellecour,549600645,GuestReady,2023-12-05,,"At GuestReady, we're on a mission to redefine modern hospitality. We specialise in helping hosts deliver outstanding experiences to their guests worldwide. With years of hospitality experience, we're dedicated to providing an exceptional experience. Let us help you find the perfect place for an unforgettable stay!",within an hour,1.0,f,,1.0,1.0,t,2e Arrondissement,45.76269,4.83321,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,101.0,1,1125,1,1,1,1125,1.0,826.5,24,54,84,101,29,29,2,2024-11-24,4.28,4.55,3.97,4.93,6938224380105,t,1,1,1,0,2.9
