,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
9419,9419,Suite Citrine,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,1er Arrondissement,45.7684213299648,4.8306390687519,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,75.0,1,365,1,3,365,365,2.9,365.0,25,53,83,358,5,5,1,2024-11-24,3.0,2.6,3.8,4.0,6900199489226,t,17,17,17,0,2.5
9420,9420,Suite Havane,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,7e Arrondissement,45.7509737899896,4.85282851276843,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,78.0,1,365,1,3,365,365,2.9,365.0,20,46,76,351,3,3,2,2024-11-23,3.0,2.33,3.67,4.33,6900795510229,t,17,17,17,0,2.65
9458,9458,Appartement Lyon 2 un mois,501806346,Isabelle,2023-02-19,,,within an hour,1.0,f,,3.0,4.0,t,2e Arrondissement,45.7506824080675,4.82335775178773,Entire rental unit,Entire home/apt,2,,,,,18,30,18,18,30,30,18.0,30.0,0,0,0,0,0,0,0,,,,,,6900266788912,t,1,1,1,0,
9520,9520,Suite Coachella,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,1er Arrondissement,45.7694449493324,4.83009946888411,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,67.0,1,365,1,3,365,365,2.9,365.0,20,40,70,318,3,3,0,2024-11-10,3.33,3.0,3.33,4.67,6900192003945,t,17,17,17,0,1.7
9533,9533,Suite Polka,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,6e Arrondissement,45.76979,4.84651,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,66.0,1,365,1,3,365,365,2.9,365.0,24,54,84,359,0,0,0,,,,,,6900692833845,t,17,17,17,0,
9534,9534,Suite Danbury,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,6e Arrondissement,45.76439,4.8468,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,84.0,1,365,1,3,365,365,2.9,365.0,27,57,87,362,1,1,1,2024-11-24,1.0,1.0,4.0,4.0,6900699200293,t,17,17,17,0,1.0
9597,9597,Suite Songor,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.75283,4.88931,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,87.0,1,365,1,3,365,365,2.9,365.0,17,47,77,352,0,0,0,,,,,,6900394490335,t,17,17,17,0,
9608,9608,Suite Donut,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.75407,4.88924,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,86.0,1,365,1,3,365,365,2.9,365.0,26,43,73,348,1,1,1,2024-11-23,5.0,4.0,5.0,5.0,6900318273457,t,17,17,17,0,1.0
9610,9610,Suite Cinnabar,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.7539450305475,4.88924921594468,Entire rental unit,Entire home/apt,10,,2.0,,,1,365,1,3,365,365,2.9,365.0,0,0,0,0,1,1,1,2024-11-19,1.0,1.0,1.0,1.0,6960054011934,f,17,17,17,0,1.0
9634,9634,Suite Bergame,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,1er Arrondissement,45.76814,4.83073,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,69.0,1,365,1,3,365,365,2.9,365.0,26,43,73,348,2,2,1,2024-11-24,3.5,3.5,4.5,5.0,6900134992834,t,17,17,17,0,1.76
9688,9688,Suite Pompeian,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.7527248777283,4.88905433390127,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,98.0,1,365,1,3,365,365,2.9,365.0,21,44,74,349,1,1,1,2024-11-25,5.0,5.0,5.0,5.0,6900303922910,t,17,17,17,0,1.0
9696,9696,Suite Solstice,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.7563782029182,4.84457174139677,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,66.0,1,365,1,3,365,365,2.9,365.0,28,56,86,361,2,2,2,2024-12-08,3.0,2.5,5.0,3.5,6900390022682,t,17,17,17,0,2.0
9724,9724,Suite Bahia,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.7622707317699,4.85175903788987,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,56.0,1,365,1,3,365,365,2.9,365.0,21,44,74,349,1,1,1,2024-11-26,1.0,1.0,5.0,5.0,6900390129834,t,17,17,17,0,1.0
9789,9789,Suite Wutaï,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,9e Arrondissement,45.7782921186472,4.8059737010976,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,62.0,1,365,1,3,365,365,2.9,365.0,27,44,74,349,1,1,1,2024-11-30,5.0,5.0,5.0,5.0,6900958902345,t,17,17,17,0,1.0
9885,9885,Suite Dounia,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.76068,4.86812,Entire rental unit,Entire home/apt,6,1.0,1.0,2.0,66.0,1,365,1,3,365,365,2.9,365.0,25,51,78,352,0,0,0,,,,,,6900389034546,t,17,17,17,0,
9886,9886,Suite Rumba,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,7e Arrondissement,45.7475600258358,4.84905912864905,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,126.0,1,365,1,3,365,365,2.9,365.0,15,34,64,339,0,0,0,,,,,,6900078928345,t,17,17,17,0,
9887,9887,Suite Zelie,651608878,Pablo,2024-09-12,,,within an hour,0.87,f,,27.0,29.0,t,3e Arrondissement,45.75702,4.84483,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,82.0,1,365,1,3,365,365,2.9,365.0,19,42,66,323,0,0,0,,,,,,6900399034456,t,17,17,17,0,
9888,9888,Havre de Paix au Cœur du 7ème,666633599,Adrian,2024-12-12,,,,,f,,1.0,1.0,t,7e Arrondissement,45.7379537,4.8400855,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,71.0,1,1125,1,2,1125,1125,1.2,1125.0,24,41,55,89,0,0,0,,,,,,6938712751252,f,1,1,1,0,
