,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
551,551,Beau T2 Lyon  5°,25065258,Jp,2014-12-21,,,within a day,1.0,t,5th Arrondissement,1.0,1.0,t,5e Arrondissement,45.753,4.79693,Entire condo,Entire home/apt,2,1.0,1.0,1.0,65.0,30,90,30,30,90,90,30.0,90.0,10,22,52,327,24,2,0,2024-07-02,4.96,4.92,4.88,4.71,"Available with a mobility lease only (""bail mobilité"")",f,1,1,1,0,0.2
553,553,"Atypique, Lyon centre vue sur Saône",25305028,Alexandre,2014-12-28,"Lyon, France","Je suis français, ma femme est hongroise._x000D_
Nous aimons voyager et rencontrer de nouvelles personnes._x000D_
_x000D_
_x000D_
",within a few hours,0.9,t,5th Arrondissement,2.0,2.0,t,9e Arrondissement,45.7668,4.81575,Entire home,Entire home/apt,4,1.0,2.0,2.0,150.0,1,1125,1,2,1125,1125,1.3,1125.0,4,4,4,19,144,18,0,2024-11-09,4.72,4.72,4.81,4.67,6938912838397,f,2,2,2,0,1.2
555,555,Bel  Appartement Lyon Centre,25486110,Franck,2015-01-02,"Lyon, France",je suis originaire du sud  de la France et je suis un fou de voyage,within an hour,1.0,f,1st Arrondissement,1.0,1.0,t,1er Arrondissement,45.76952,4.82582,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,86.0,2,1125,1,3,1125,1125,2.0,1125.0,11,30,57,313,217,34,3,2024-11-24,4.62,4.68,4.81,4.77,6938113054789,f,1,1,1,0,1.83
557,557,Bright appartement with a beotifull,21493771,Marie-Hélène,2014-09-18,"Lyon, France","couple de retraités dynamique, aimant les voyages, le jazz et le cinéma  aurait plaisir à vous accueillir  et à vous faire partager ses passions",within a few hours,1.0,t,9th Arrondissement,1.0,4.0,t,9e Arrondissement,45.76828,4.8121,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,90.0,2,8,2,2,8,8,2.0,8.0,14,21,21,21,160,11,1,2024-11-21,4.69,4.51,4.82,4.58,6938912966279,f,1,1,1,0,1.34
559,559,Appart Centre Lyon Part Dieu,3854617,Sébastien,2012-10-13,"Lyon, France","Bonjour, je m'apelle Sébastien, je vis à Lyon et je travaille dans la décoration intérieure. ",within an hour,1.0,f,3rd Arrondissement,1.0,1.0,t,3e Arrondissement,45.75706,4.85519,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,85.0,2,1125,2,2,1125,1125,2.0,1125.0,23,53,83,85,38,9,0,2024-08-31,4.68,4.82,4.97,4.74,6938312432648,f,1,1,1,0,0.36
560,560,"Centre Ville: ""L'appart Vintage "".",19494167,Jérôme,2014-08-05,"Lyon, France","Jérome, 47 ans, je suis ébéniste de métier et 100 % lyonnais._x000D_
Je suis papa de 3 enfants et c'est avec plaisir que je  vous accueillerais  dans mon appartement duplex situé à deux pas du centre de Lyon.",,,f,3rd Arrondissement,2.0,2.0,t,3e Arrondissement,45.76105,4.84065,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,65.0,365,1125,365,365,1125,1125,365.0,1125.0,14,44,74,349,253,0,0,2020-03-08,4.45,4.24,4.86,4.92,,t,2,1,1,0,2.1
561,561,a room in a house with a garden,3797393,Lena Et Christophe,2012-10-08,"Lyon, France","We are joyful and open people:) We live with my 17 year old son and two cats in a cosy house with a small garden. We love our home, we love watching it live with people and their stories. We like to share and create nice memories of people and places :) We love to smile, to take it easy and to meet you :)",within a few hours,1.0,f,3rd Arrondissement,1.0,2.0,t,3e Arrondissement,45.7546,4.87925,Private room in home,Private room,1,1.0,1.0,1.0,44.0,2,5,2,2,5,5,2.0,5.0,14,43,73,73,46,0,0,2023-05-26,4.89,4.96,4.96,4.78,,f,1,0,0,0,0.4
562,562,A sweet room in Lyon center,17863878,Clotilde,2014-07-09,"Lyon, France","J'adore voyager, rencontrer de nouvelles personnes et découvrir de nouveaux lieux, tout autant que recevoir des voyageurs de tous horizons._x000D_
Une de mes devises préférées : ""collect moments, not things...""_x000D_
_x000D_
I love travelling, meeting new people and discover new places, as much as welcoming travellers from all parts of the world._x000D_
What is important for me  ?  ""collect moments, not things...""",within a day,0.5,f,7th Arrondissement,2.0,2.0,t,7e Arrondissement,45.75543,4.84063,Private room in rental unit,Private room,2,1.0,1.0,1.0,120.0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,165,46,12,1,2024-12-08,4.72,4.93,4.83,4.61,,f,2,1,1,0,0.41
563,563,Appart duplex avec terrasse - Centre - Presqu'Ile,26172419,Frédéric,2015-01-15,"Lyon, France","Lyonnais depuis plus de 15 ans, je ne pourrais quitter cette ville si agréable. Papa de 2 charmantes filles et époux d'une superbe femme, j'aime passer du temps à bouquiner sur notre terrasse et à prendre en photo les moments de vie.",within a few hours,1.0,f,1st Arrondissement,1.0,1.0,t,1er Arrondissement,45.77099,4.83222,Entire loft,Entire home/apt,8,1.5,3.0,3.0,160.0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,66,57,5,1,2024-12-08,4.86,4.6,4.88,4.93,6938112881872,f,1,1,1,0,0.48
564,564,chambre avec SDB WC privatifs dans maison loft,21550459,Pierre-Henri,2014-09-20,"Lyon, France","Famille joyeuse, aime partager les chose simples de la vie,...Une passion commune, la musique !",,,f,3rd Arrondissement,1.0,2.0,t,3e Arrondissement,45.75788,4.84291,Private room in loft,Private room,1,1.0,1.0,1.0,150.0,6,1125,1,6,1125,1125,5.3,1125.0,23,53,83,173,0,0,0,,,,,,,f,1,0,0,0,
