,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
7065,7065,"Nocnoc Immeuble Le Dubois, 18 ch, jusqu'à 40p",86438224,Marine,2016-07-28,"Lyon, France","Je suis Directrice de Lyon pour NOCNOC !
Nous mettons à disposition + de 80 appartements dans 9 villes de France. 
Nos appartements comprennent de grands espaces de vie ainsi que des emplacements premiers en centre-ville. Nous mettons à disposition des draps et de la literie de qualité hôtelière et une équipe de professionnels dédiée à vos besoins.
Nos + : Check-in et check-out flexibles, un centre d'écoute 7jours/7 .",within an hour,0.98,f,2nd Arrondissement,21.0,23.0,t,3e Arrondissement,45.75958,4.84303,Entire rental unit,Entire home/apt,16,7.0,18.0,19.0,1760.0,1,1125,1,2,1125,1125,1.3,1125.0,30,58,88,363,1,1,0,2024-01-21,5.0,5.0,4.0,5.0,6938312883402,f,20,20,20,0,0.09
7074,7074,Duplex avec jardin,10378752,Manon,2013-12-02,"Lyon, France",,,,f,,2.0,2.0,t,5e Arrondissement,45.755138482428,4.81070842885673,Entire rental unit,Entire home/apt,6,,3.0,,,30,365,2,2,365,365,2.0,365.0,0,0,0,0,1,0,0,2023-02-26,5.0,5.0,5.0,5.0,6938513521764,f,1,1,1,0,0.05
7080,7080,Loft contemporain avec terrasse,40532770,Thanhtu,2015-08-04,"Soc Trang, Vietnam",Idc: Parce que nous sommes des êtres à partes !!!,within a few hours,0.9,t,,1.0,1.0,t,7e Arrondissement,45.7504738,4.8447219,Entire rental unit,Entire home/apt,8,2.0,4.0,4.0,314.0,2,365,2,2,365,365,2.0,365.0,17,41,71,330,88,49,7,2024-12-07,4.89,4.79,4.86,4.77,Exempt - hotel-type listing,f,1,1,1,0,3.97
7081,7081,Au coeur de la Croix- Rousse !,102755817,Catherine,2016-11-06,"Lyon, France","Bonjour,
Je voyage avec mes trois enfants.
Nous aimons visiter, découvrir des ambiances inattendues, dépaysantes et ramener de belles images chez nous.
Nous avons un chat que nous laissons à la maison.
Nous aimons faire des rencontres, partager des repas exotiques, faire des ballades et nous baigner.",,,f,,1.0,1.0,t,4e Arrondissement,45.7765469290344,4.82350279968685,Entire rental unit,Entire home/apt,5,,3.0,,,365,365,365,365,365,365,365.0,365.0,29,59,89,364,13,5,0,2024-06-24,4.69,3.92,5.0,5.0,2023020400570,f,1,1,1,0,0.64
7082,7082,"A nest for cinema, music, gaming and coffee lovers",2946226,Amine,2012-07-15,"Lyon, France","I am an engineer and a musician. I work as a researcher on neurological rehabilitation therapies, and I am running Shouka, a small musical label.",,,t,,2.0,6.0,t,7e Arrondissement,45.74745,4.83448,Entire rental unit,Entire home/apt,5,,1.0,,,2,365,2,2,365,365,2.0,365.0,0,0,0,0,9,8,0,2024-06-16,4.78,4.56,4.89,4.89,6938713522797,f,1,1,1,0,0.45
7097,7097,Ravissant duplex sur jardin,350201382,Gaëlle,2020-06-15,,,within an hour,1.0,f,,4.0,4.0,t,9e Arrondissement,45.7859318469598,4.80964203270513,Entire rental unit,Entire home/apt,5,1.0,1.0,1.0,78.0,2,1125,2,2,1125,1125,2.0,1125.0,20,20,20,20,10,4,0,2024-06-27,3.9,3.6,4.7,4.1,6938924502944,f,3,3,3,0,0.52
7102,7102,Porte DU VIEUX LYON 2,451047676,Aline,2022-03-24,"Lyon, France",je suis une gérante d'une conciergerie sur Lyon je voyage avec ma famille et je prend souvent des airbnb,within an hour,1.0,f,,62.0,63.0,t,5e Arrondissement,45.750696,4.8192961,Entire rental unit,Entire home/apt,8,1.0,3.0,6.0,103.0,1,365,1,2,1125,1125,1.1,1125.0,16,38,68,194,88,41,8,2024-12-07,4.8,4.88,4.91,4.66,6938524486128,t,22,21,21,0,3.97
7110,7110,Duplex à Lyon en Rooftop,15725916,Edwige,2014-05-19,"Lyon, France",,,,f,,1.0,1.0,t,8e Arrondissement,45.734635,4.8589394,Entire rental unit,Entire home/apt,6,,3.0,,,3,120,3,3,120,120,3.0,120.0,0,0,0,0,29,14,0,2024-07-20,4.69,4.59,4.72,4.45,6938813561570,f,1,1,1,0,1.78
7114,7114,Logement 7 personnes avec Terrasse au cœur de Lyon,216892155,Sébastien,2018-09-23,"Valence, France",,within an hour,0.92,t,,3.0,3.0,t,7e Arrondissement,45.7343052263126,4.83631724603271,Entire rental unit,Entire home/apt,7,1.5,2.0,4.0,140.0,2,14,2,3,14,14,2.7,14.0,15,35,59,326,10,9,0,2024-11-03,4.8,5.0,4.6,4.6,6938724495180,f,1,1,1,0,0.81
7127,7127,Le Chariot d'Or - Beautiful T3 Apartment,219393761,Axel,2018-10-08,France,"Spécialistes de la location d'appartements ou maisons en courte durée partout en France, nous sommes à votre disposition pour vous assister dans votre recherche de logements ! 
L'ensemble de nos biens répondent à des critères de qualité stricts, l'idée étant que vous puissiez bénéficier d'un logement confortable et agréable durant votre séjour. 
Vivre en France vous donne également ses meilleurs conseils pour découvrir votre destination avec l'aide de ses partenaires locaux.
Enfin, grâce à notre réseau de concierge national, nous pouvons vous accompagner et vous conseiller dans la mise en location de votre résidence principale ou secondaire. ",within an hour,0.98,f,Belle Plagne,41.0,57.0,t,4e Arrondissement,45.7777147,4.835521,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,100.0,3,1125,3,31,580,944,3.2,761.4,11,35,65,334,65,37,2,2024-12-08,4.75,4.51,4.6,4.75,6938013297417,t,21,21,21,0,3.03
