,Unnamed: 0,name,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_entire_homes.1,calculated_host_listings_count_shared_rooms,reviews_per_month
7249,7249,Dify Presqu'île - Bellecour,507610557,Agrippine,2023-03-29,,,,,f,,43.0,63.0,t,2e Arrondissement,45.7585192027415,4.82991804337196,Entire rental unit,Entire home/apt,3,,1.0,,,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,34,11,0,2024-08-27,4.68,4.82,4.09,5.0,6938212451748,t,35,35,35,0,1.72
7254,7254,In the heart of old town AIL,509898525,Guy,2023-04-13,,,within an hour,1.0,f,,1.0,1.0,t,5e Arrondissement,45.7613362,4.8259989,Entire rental unit,Entire home/apt,2,,1.0,,,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,9,6,0,2024-11-02,4.78,4.89,4.67,5.0,6938513299654,f,1,1,1,0,0.45
7255,7255,"+ belle vue de Lyon, quai de Saône, dernier étage",10010838,Jean Charles,2013-11-14,"Lyon, France","Originaire de Lyon, je suis passionné par la Musique, les voyages et les sports nautiques. ",within an hour,1.0,t,,1.0,2.0,t,1er Arrondissement,45.7677224,4.8185536,Entire rental unit,Entire home/apt,4,2.5,2.0,2.0,268.0,1,365,1,1,365,365,1.0,365.0,30,59,89,364,29,22,1,2024-12-08,4.9,4.72,4.97,4.9,6938113560872,f,1,1,1,0,1.96
7256,7256,95 m² /Triangle d’Or / Lyon 6/ 2 CH+Balcons+Clim,510011404,Benjamin,2023-04-14,,,within a day,0.5,f,,1.0,1.0,t,6e Arrondissement,45.7740358,4.8465344,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,86.0,365,730,365,365,730,730,365.0,730.0,29,59,89,364,0,0,0,,,,,,,f,1,1,1,0,
7257,7257,Le Voltaire-moderne-centre ville,251303962,Philippe,2019-03-26,,"Je vie à Lyon.
J'aime les marches en montagne , les voyages et les créations artistiques.",within an hour,1.0,t,,1.0,1.0,t,3e Arrondissement,45.7571283,4.8497031,Entire rental unit,Entire home/apt,4,1.5,1.0,2.0,63.0,1,90,1,1,1125,1125,1.0,1125.0,1,11,31,106,154,94,9,2024-12-13,4.82,4.9,4.92,4.55,6938313268234,f,1,1,1,0,7.84
7258,7258,Appart lumineux quai de Saône.,173959493,Thomas,2018-02-18,"Remiremont, France",,,,f,,1.0,1.0,t,9e Arrondissement,45.7789391179686,4.80716416992019,Entire rental unit,Entire home/apt,4,,2.0,,,5,14,5,5,14,14,5.0,14.0,0,0,0,0,4,0,0,2023-06-18,5.0,5.0,5.0,5.0,6938913562434,f,1,1,1,0,0.2
7260,7260,Appartement neuf 2 chambres 4 pers. Croix-Rousse,17909339,Philippine & Pierre-Jean,2014-07-10,"Lyon, France","Passionnés de gastronomie, nous adorons notre quartier, la Croix Rousse, un village dans  la ville!
Nous sommes heureux de vous accueillir chez nous quand nous n’y sommes pas et de partager nos bonnes adresses. 
Nous adorons voyager, seuls ou à deux, ou avec nos trois enfants. Nous respecterons votre maison comme nous aimons que nos hôtes respectent la notre!",within an hour,1.0,t,4th Arrondissement,7.0,7.0,t,4e Arrondissement,45.7749163161447,4.82207167893648,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,140.0,30,365,30,30,365,365,30.0,365.0,21,51,81,356,3,2,0,2024-09-19,5.0,5.0,4.67,5.0,"Available with a mobility lease only (""bail mobilité"")",f,6,5,5,0,0.17
7261,7261,Grand Duplex coeur Vieux Lyon + Vue sur la Saône,25208563,Matthieu,2014-12-26,"Lyon, France",,within an hour,1.0,f,,1.0,4.0,t,5e Arrondissement,45.763724412476,4.82946759640679,Entire rental unit,Entire home/apt,8,2.0,4.0,4.0,247.0,2,1125,2,2,1125,1125,2.0,1125.0,7,29,51,294,9,7,0,2024-09-28,4.67,4.33,4.56,5.0,6938513562544,f,1,1,1,0,0.6
7262,7262,Appart cosy quartier MontPlaisir,52399626,Marion,2015-12-27,"Lyon, France",,,,f,,4.0,5.0,t,8e Arrondissement,45.73964,4.86421,Entire rental unit,Entire home/apt,2,,1.0,,,365,365,365,365,365,365,365.0,365.0,0,0,0,0,5,0,0,2023-05-25,3.6,3.6,4.6,3.8,1234567890123,t,2,2,2,0,0.25
7267,7267,Architect's flat between Bellecour and Perrache,451047676,Aline,2022-03-24,"Lyon, France",je suis une gérante d'une conciergerie sur Lyon je voyage avec ma famille et je prend souvent des airbnb,within an hour,1.0,f,,62.0,63.0,t,2e Arrondissement,45.7539888140561,4.83064633624571,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,80.0,1,30,1,1,1125,1125,1.0,1125.0,30,59,89,226,43,22,4,2024-11-24,4.77,4.79,4.93,4.95,Exempt - hotel-type listing,t,22,21,21,0,2.3
